English_sentences,Balochi_sentences
Hi!,Drót o drahbát!
Hi.,Drót o drahbát.
Run!,Betach!
Run!,Maydán kan!
Run.,Betach.
Wow!,Zabardast!
Duck!,Jahl bay!
Duck!,Jahl bi!
Duck.,Bath.
Fire!,Payr kan!
Fire!,Ás!
Help!,Komakk!
Help!,madat!
Jump!,Jamp kan.
Jump!,Dawr kan!
Stop!,Bedár!
Stop!,Bejall!
Stop!,Bósht!
Wait!,Wadár kan!
Wait.,Sabr kan.
Wait.,Wadár kan.
Begin.,Bendát kan.
Begin.,Bená kan.
Go on.,Rawán kan.
Go on.,Jonzán kan.
Hello!,Drót o drahbát!
Hello!,Halaw!
Hurry!,Balay kan!
Hurry!,Zit kan!
Hurry!,Jaldi kan!
I hid.,Man thappetán.
I hid.,Man chér bitán.
I ran.,Man tachán bitán.
I ran.,Man tachán kot.
I ran.,Man maydán kot.
I ran.,Man drekk bitán.
I ran.,Man maydán bitán.
I see.,Sarpad bitán.
I try.,Man kóshest kanán.
I try.,Man johd kanán.
I won!,Man katthet!
Relax.,Árám bay.
Relax.,Árám bi.
Shoot!,Tir bejan!
Shoot!,Shuth kan!
Smile.,Bechkand.
Hurry!,Goshád kan!
Ask me.,Maná jost kan.
Ask me.,Maná bepors.
Attack!,Orosh kan!
Attack!,Hamlah kan!
Cheers!,Salámat bátay!
Eat it.,Bewary.
Eat up.,Sérá bewar.
Freeze!,Masor!
Freeze!,Thanth!
Go now.,Anni boraw.
Go now.,Ni boraw.
Got it!,Sarpad bitán!
Got it?,Sarpad bitay?
He ran.,Á tatk.
He ran.,Á tachán but.
Hop in.,Sawár bay.
Hop in.,Jamáz bay.
Hop in.,Sawár bi.
Hug me.,Maná goláésh kan.
Hug me.,Maná ambáz.
I care.,Man hayáldári kanán.
I care.,Man hayál dárán.
I fell.,Man kaptán.
I fled.,Man dar shotán.
I fled.,Man tatkán.
I know.,Man zánán.
I lied.,Man dróg bast.
I lost.,Man babá dát.
I paid.,Man mók et.
I paid.,Man adá kot.
I sang.,Man sawt jat.
I spit.,Man tokk jat.
I swim.,Man ózhnág kanán.
I wept.,Man grét.
I'm 19.,Maná 19 sál ent.
I'm OK.,Man baróbar án.
I'm up.,Man pád atkagán.
Listen!,Gósh dár!
Listen!,Delgósh!
Listen.,Gósh dár.
Listen.,Delgósh.
No way!,Hecch ráh nést!
No way!,Hecch wadh nést!
No way!,Hecch wadhá!
Really?,Rásti?
Thanks!,Mennatwár!
Thanks.,Mennatwár.
Try it.,Becháry.
Try it.,Eshiá bechakkás.
We try.,Má kóshest kanén.
We try.,Má johd kanén.
We won.,Má katthet.
Why me?,Man parchá?
Gwadur.,Gwáder.
I lost.,Man báhént.
Eat it.,Bwary.
Eat up.,Sérá bwar.
I'm OK.,Man barábar án.
Ask Tom.,Thámá jost kan.
Ask Tom.,Thámá bepors.
Awesome!,Zabardast!
Be cool.,Sárt bay.
Be cool.,Árám bi.
Be fair.,Ensáp bekan.
Be fair.,Hakk bekan.
Be kind.,Mehrwán bebay.
Be kind.,Mehrabán bi.
Be nice.,Asill bebay.
Be nice.,Asillé bi.
Beat it.,Bejany.
Beat it.,Gomy kan.
Burn it.,Sóchy.
Bury it.,Kally kan.
Call me.,Maná pawn kan.
Come in.,Tahá byá.
Come on!,Byá byá!
Come on.,Balay kan.
Come on.,Jaldi kan.
Come on.,Zit kan.
Come on.,Byá byá.
Drop it.,Chagaly day.
Drop it.,Chagal bedy.
Drop it.,Dawry day.
Fold it.,Dotaly kan.
Get out!,Dará chedá!
Get out!,Dar á chedá!
Get out.,Dará dhanná.
Get out.,Dhanná dará.
Get out.,Dar á dhanná.
Get Tom.,Thámá beger.
Go away!,Thagal chedá!
Go away.,Boraw chedá.
Go home.,Boraw lógá.
Goodbye!,Wasshén!
Hang on!,Wadár kan!
Hang on.,Wadár kan.
He came.,Á atk.
He quit.,Áiá yalah dát.
He quit.,Áiá yalah kot.
He runs.,Á tachit.
Help me!,Maná komakk kan!
Help me!,Maná madat kan!
Help me.,Maná madat kan.
Help us.,May madat kan.
Help us.,May komakk kan.
Help us.,Márá madat kan.
"Hi, Tom.","Ché hál ent, Thám."
"Hi, Tom.","Che hál ent, Thám."
Hit Tom.,Thámá bejan.
Hold it!,Bedáry!
Hold it.,Bedáry.
Hold on.,Bedáry.
Hold on.,Bejall.
Hug Tom.,Thámá goláésh kan.
Hug Tom.,Thámá ambáz.
I agree.,Man mannán.
I cried.,Man grét.
I drove.,Man halláént.
I drove.,Man tátk.
I drove.,Man gádhi halláént.
I froze.,Man thanthetán.
I snore.,Man wábá gorrán.
I snore.,Man garrádhán.
I swore.,Man sawgend wárt.
I waved.,Man dast sorént.
I waved.,Man dast dát.
I'll go.,Man rawán.
I'm bad.,Man harábán.
